feature,importance_gain,importance_split
buy_volume_ratio,716.6723098754883,6
last_15m_ret,715.4767150878906,8
vol_over_csi1500_mcap_vol_lag1,713.859992980957,7
csi1500_ew_oc_ret_lag2,705.4837074279785,7
vwap_low_ratio_lag15,702.5834884643555,7
mkt_gt5_rate,700.621509552002,6
mkt_ret_sh,697.0919876098633,6
chip_pressure_lag20,693.9781951904297,9
min_15m_ret_lag3,693.6687927246094,5
csi1500_mcap_ret_std_20_lag3,690.7246017456055,7
sw_l2_ret_std_20_lag5,683.9448928833008,6
sw_l2_ret_rel_csi1500_ew_lag1,680.4499053955078,6
sw_l2_mom20_rel_csi1500_mcap,677.0820007324219,8
xin9_ret,672.2877998352051,8
csi1500_ew_mom_20_lag3,671.1965065002441,7
sw_l2_market_beta_ew_20d_lag3,670.4362945556641,6
mv_prank_1500,665.4883804321289,5
sw_l2_mom_10,661.5174865722656,6
mkt_mf_inst_ma_10_lag3,658.1246070861816,5
ixic_swing,655.4740982055664,7
sw_l2_turnover_proxy_lag3,652.1959991455078,7
vwap_log_ret_20_lag10,650.311393737793,4
sw_l2_market_beta_ew_20d_lag2,649.2773056030273,8
hurst_intraday_lag1,646.9642944335938,5
csi1500_mcap_max_weight_lag2,646.9568023681641,6
csi1500_ew_oc_ret_lag5,646.5440979003906,7
mkt_limit_down_count_lag3,645.9416046142578,6
buy_volume_ratio_lag2,645.5789947509766,4
sw_l2_range_pct_lag1,642.6857986450195,7
ret_20_lag5,640.8735008239746,7
hktech_swing_lag2,635.7100067138672,8
mkt_limit_down_count_lag1,628.8320999145508,8
csi1500_ew_up_ratio_lag5,628.648078918457,2
max_5m_ret_lag1,625.3276901245117,2
auc_c_range_lag6,621.0397033691406,4
beta_to_csi1500_mcap_20d,618.755500793457,6
csi1500_mcap_top10_weight_lag3,609.1304931640625,6
csi1500_mcap_ret_std_20_lag5,606.4193992614746,5
csi1500_mcap_coverage_ratio_lag1,604.7744979858398,6
csi1500_mcap_mom_3_lag2,603.1546058654785,7
csi1500_ew_oc_ret,602.6227035522461,6
mkt_mf_inst_ma_10_lag2,602.1946029663086,7
ret_2,598.9655952453613,6
mean_vwap_distance_lag1,598.2249145507812,4
vwap_log_ret_2,597.7578964233398,5
sw_l2_oc_ret_lag1,595.7757949829102,5
circ_mv_cs_rank_lag20,594.4602966308594,6
ret_5_prank_1500_lag7,593.0820159912109,3
realized_vol_1m_lag2,591.7372970581055,4
ret_10_rel_csi1500_ew_lag1,588.2799911499023,6
csi1500_mcap_mom_20_lag2,582.855598449707,6
sw_l2_ret_std_5_lag1,580.2118988037109,5
sw_l2_market_alpha_mcap_5,578.4863204956055,6
max_consecutive_up_bars,575.7722930908203,5
csi1500_ew_lt_minus_2pct_ratio,574.4172897338867,6
ret_20_rel_csi1500_mcap,572.7996978759766,6
csi1500_mcap_mom_3_lag3,569.633903503418,5
csi1500_ew_ret_lag5,569.2503051757812,5
vol_over_csi1500_ew_vol_lag2,568.0683898925781,5
csi1500_mcap_max_weight_lag1,565.6697998046875,7
mkt_mf_retail_rate_lag2,559.9423942565918,6
variance_top10_share_lag1,558.002613067627,5
vwap_log_ret_20_lag3,556.2447967529297,6
min_5m_ret_lag3,551.7024993896484,4
ixic_vol_z,550.5300979614258,7
sw_l2_turnover_proxy,548.734001159668,4
winner_rate,544.7809028625488,6
mean_5m_range_lag5,544.4440879821777,5
beta_to_csi1500_mcap_20d_lag5,543.8710975646973,5
sw_l2_market_beta_mcap_20d_lag5,540.8005981445312,7
ixic_vol_z_lag5,539.7099990844727,7
csi1500_mcap_ret_std_20_lag2,528.1706008911133,6
up_bar_ratio_lag1,526.7872009277344,3
mkt_gt3_rate,526.3520050048828,5
sw_l2_vol_z_20,522.656005859375,5
beta_to_csi1500_mcap_20d_lag1,522.0690002441406,5
sw_l2_market_beta_mcap_20d_lag2,519.8087005615234,5
vwap_log_ret_5_lag20,518.7575988769531,5
csi1500_ew_mom_2_lag2,518.1203918457031,6
mkt_mf_inst_ma_10_lag1,515.1401062011719,5
realized_vol_5m,514.9939956665039,2
turnover_prank_1500_lag9,512.8120956420898,4
mkt_mf_inst_rate_lag10,512.2954025268555,6
beta_to_sw_l2_20d_lag5,509.77039337158203,5
ret_10_rel_csi1500_mcap,508.3599090576172,5
sw_l2_ret_1_rank_accel5,505.7046012878418,5
sw_l2_oc_ret_lag7,505.53480529785156,6
sw_l2_ret_1_lag20,505.41569900512695,6
chip_pressure_lag5,505.33940505981445,6
