model,ts_code,trade_date,priority_name,priority,target
h3m55d15_consensus,600986.SH,20260123,KEEP60_ONLY,2,
h3m55d15_consensus,000880.SZ,20260122,KEEP60_ONLY,2,
h3m55d15_consensus,002985.SZ,20260122,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,300775.SZ,20260122,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000048.SZ,20260121,KEEP60_ONLY,2,
h3m55d15_consensus,000880.SZ,20260121,KEEP60_ONLY,2,
h3m55d15_consensus,301031.SZ,20260121,KEEP60_ONLY,2,
h3m55d15_consensus,000048.SZ,20260120,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002716.SZ,20260120,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,688380.SH,20260120,KEEP60_ONLY,2,
h3m55d15_consensus,002163.SZ,20260119,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002985.SZ,20260119,KEEP60_ONLY,2,
h3m55d15_consensus,603667.SH,20260119,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000620.SZ,20260116,KEEP60_ONLY,2,
h3m55d15_consensus,002156.SZ,20260116,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,688234.SH,20260116,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000681.SZ,20260115,CURRENT_ONLY,2,
h3m55d15_consensus,001337.SZ,20260115,CURRENT_ONLY,2,
h3m55d15_consensus,000681.SZ,20260113,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,002400.SZ,20260113,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,002465.SZ,20260113,KEEP60_ONLY,2,
h3m55d15_consensus,000969.SZ,20260112,KEEP60_ONLY,2,
h3m55d15_consensus,600498.SH,20260112,KEEP60_ONLY,2,
h3m55d15_consensus,688387.SH,20260112,KEEP60_ONLY,2,
h3m55d15_consensus,002400.SZ,20260109,KEEP60_ONLY,2,
h3m55d15_consensus,600879.SH,20260109,KEEP60_ONLY,2,
h3m55d15_consensus,603305.SH,20260109,KEEP60_ONLY,2,
h3m55d15_consensus,002195.SZ,20260108,KEEP60_ONLY,2,
h3m55d15_consensus,300065.SZ,20260108,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600879.SH,20260108,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000620.SZ,20260107,CURRENT_ONLY,2,
h3m55d15_consensus,002324.SZ,20260107,CURRENT_ONLY,2,
h3m55d15_consensus,000620.SZ,20260106,KEEP60_ONLY,2,
h3m55d15_consensus,002151.SZ,20260106,KEEP60_ONLY,2,
h3m55d15_consensus,002324.SZ,20260106,KEEP60_ONLY,2,
