ts_code,trade_date,priority_name,priority,T0_open,T0_close,T0_high,T1_open,T1_close,T1_high,T2_open,T2_close,T2_high,T3_open,T3_close,T3_high,T4_open,T4_close,T4_high,T5_open,T5_close,T5_high,buy,sell,return,target
300085.SZ,20260622,,0.0,28.12,32.35,32.35,35.02,38.82,38.82,38.0,38.54,39.66,37.51,38.62,40.84,38.1,36.01,40.26,34.89,34.61,36.31,35.02,38.0,0.08509423186750409,1
301658.SZ,20260622,P3_global_china_expansion,3.0,29.3,29.5,29.75,29.27,28.24,29.4,28.24,27.54,28.39,27.35,26.8,27.5,26.58,25.97,27.22,25.96,26.48,27.0,29.27,27.54,-0.059104885548343034,0
688523.SH,20260622,P3_global_china_expansion,3.0,54.0,52.84,54.18,53.0,50.38,53.92,50.3,50.95,51.98,50.3,49.91,52.53,48.8,51.5,53.2,51.43,49.95,51.5,53.0,49.91,-0.05830188679245285,0
300687.SZ,20260618,,0.0,27.0,27.37,28.38,27.15,26.46,27.63,26.3,27.25,28.8,27.16,29.92,30.87,29.77,28.16,30.35,27.91,27.09,28.32,27.15,29.322,0.08000000000000007,1
688523.SH,20260618,P3_global_china_expansion,3.0,52.51,54.18,55.21,54.0,52.84,54.18,53.0,50.38,53.92,50.3,50.95,51.98,50.3,49.91,52.53,48.8,51.5,53.2,54.0,50.38,-0.067037037037037,0
688717.SH,20260618,,0.0,91.05,89.19,91.8,89.32,92.14,93.28,91.67,86.8,91.72,88.0,85.6,88.0,84.11,83.77,85.84,83.76,80.7,85.23,89.32,83.77,-0.06213613972234655,0
300687.SZ,20260617,P2_current_broader,2.0,25.74,26.99,27.11,27.0,27.37,28.38,27.15,26.46,27.63,26.3,27.25,28.8,27.16,29.92,30.87,29.77,28.16,30.35,27.0,29.160000000000004,0.08000000000000007,1
301316.SZ,20260617,,0.0,37.7,41.03,41.29,41.41,42.78,43.98,42.62,42.07,43.92,42.2,40.17,42.2,39.92,41.18,42.2,41.18,40.95,41.78,41.41,40.95,-0.011108427915962227,0
688523.SH,20260617,P3_global_china_expansion,3.0,52.63,53.2,54.61,52.51,54.18,55.21,54.0,52.84,54.18,53.0,50.38,53.92,50.3,50.95,51.98,50.3,49.91,52.53,52.51,49.91,-0.04951437821367366,0
301000.SZ,20260616,,0.0,29.11,35.22,35.22,34.87,34.26,34.87,33.92,33.55,34.5,33.89,32.9,34.0,32.68,33.4,33.98,33.2,33.57,33.79,34.87,32.9,-0.056495554918267854,0
600353.SH,20260616,P1B_low_turnover_exception,1.0,34.72,34.72,34.72,38.19,38.19,38.19,41.5,42.01,42.01,46.21,46.21,46.21,48.74,48.8,50.0,48.87,52.9,53.68,38.19,41.5,0.08667190363969635,1
688552.SH,20260616,,0.0,29.64,29.09,29.65,28.88,28.81,29.35,28.76,28.74,29.28,29.21,28.41,29.24,28.41,28.5,29.99,28.6,28.53,28.71,28.88,28.53,-0.012119113573407114,0
300085.SZ,20260615,P2_current_broader,2.0,27.38,27.19,28.87,26.87,27.38,27.98,27.4,27.88,28.0,27.61,26.96,27.73,28.12,32.35,32.35,35.02,38.82,38.82,26.87,29.019600000000004,0.08000000000000007,1
301316.SZ,20260615,,0.0,35.67,37.54,37.66,37.19,37.88,38.1,37.7,41.03,41.29,41.41,42.78,43.98,42.62,42.07,43.92,42.2,40.17,42.2,37.19,40.1652,0.08000000000000007,1
688523.SH,20260615,,0.0,53.99,53.84,55.0,55.0,52.63,55.59,52.63,53.2,54.61,52.51,54.18,55.21,54.0,52.84,54.18,53.0,50.38,53.92,55.0,50.38,-0.08399999999999996,0
002203.SZ,20260612,,0.0,23.42,23.44,23.44,23.0,24.79,25.5,24.0,24.5,25.2,23.97,23.2,24.87,22.95,25.52,25.52,26.57,26.3,26.99,23.0,24.840000000000003,0.08000000000000007,1
601958.SH,20260612,P1B_low_turnover_exception,1.0,25.52,25.52,25.52,27.25,28.07,28.07,28.1,28.88,29.76,28.0,28.47,29.0,28.5,27.7,29.23,28.14,30.47,30.47,27.25,29.430000000000003,0.08000000000000007,1
688523.SH,20260612,P3_global_china_expansion,3.0,53.56,53.35,57.52,53.99,53.84,55.0,55.0,52.63,55.59,52.63,53.2,54.61,52.51,54.18,55.21,54.0,52.84,54.18,53.99,52.84,-0.02130024078533055,0
000048.SZ,20260611,,0.0,18.95,19.61,19.61,19.39,18.91,21.18,19.53,17.37,20.45,16.9,19.11,19.11,19.11,19.13,19.78,19.05,18.86,19.49,19.39,17.37,-0.10417741103661682,0
600378.SH,20260611,,0.0,63.89,63.89,63.89,63.18,57.15,63.25,57.1,56.27,57.85,57.21,58.0,61.58,57.0,63.8,63.8,64.65,65.16,66.99,63.18,57.1,-0.09623298512187395,0
688523.SH,20260611,P3_global_china_expansion,3.0,53.05,53.27,54.1,53.56,53.35,57.52,53.99,53.84,55.0,55.0,52.63,55.59,52.63,53.2,54.61,52.51,54.18,55.21,53.56,54.18,0.011575802837938687,0
